,№,General standard #,Freq.,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning
,4043,4043,3978,言 149.6,590,"0,000305%",,,8,诙,huī,hui,first,"tease, joke with; ridicule, mock"
,4044,4044,6351,戶 63.4,36,"0,000019%",,,8,戽,hù,hu,fourth,to bale out water
,4045,4045,5342,邑 163.6,133,"0,000069%",,,8,郓,yùn,yun,fourth,place name
,4046,4046,4675,衣 145.3,258,"0,000133%",,,8,衩,chǎ,cha,third,the open seam of a garment which allows freedom of movement
,4047,4047,6108,示 113.4,54,"0,000028%",,,8,祆,xiān,xian,first,"Ormazda, god of the Zoroastrians; extended to god of the Manicheans"
,4048,4048,6124,示 113.4,53,"0,000027%",,,8,祎,yī,yi,first,excellent
,4049,4049,4484,示 113.4,333,"0,000172%",,,8,祉,zhǐ,zhi,third,"happiness, blessings, good luck"
,4050,4050,5064,示 113.4,172,"0,000089%",,,8,祇,qí,qi,second,"the spirit of the earth; (used for只) only, merely, but"
,4051,4051,3274,言 149.6,1358,"0,000702%",,,8,诛,zhū,zhu,first,"execute, kill, put to death; punish"
,4052,4052,4571,言 149.6,298,"0,000154%",,,8,诜,shēn,shen,first,"inquire, question; numerous"
,4053,4053,4844,言 149.6,213,"0,000110%",,,8,诟,gòu,gou,fourth,"abuse, scold, berate, insult"
,4054,4054,3683,言 149.6,821,"0,000424%",,,8,诠,quán,quan,second,"explain, expound, comment on"
,4055,4055,3475,言 149.6,1063,"0,000549%",,,8,诣,yì,yi,fourth,"reach; achievement, accomplishment"
,4056,4056,4449,言 149.6,346,"0,000179%",,,8,诤,zhēng,zheng,first,to expostulate; to remonstrate
,4057,4057,2728,言 149.6,2743,"0,001418%",6,7–9,8,诧,chà,cha,fourth,"be surprised, be shocked"
,4058,4058,4629,言 149.6,276,"0,000143%",,,8,诨,hùn,hun,fourth,"jokes, obsene jests; joke"
,4059,4059,3861,言 149.6,659,"0,000341%",,,8,诩,xǔ,xu,third,"boast, brag; popular, well-known"
,4060,4060,4825,戈 62.4,217,"0,000112%",,,8,戕,qiāng,qiang,first,"kill, slay; wound, injure, hurt"
,4061,4061,4216,子 39.5,453,"0,000234%",,,8,孢,bāo,bao,first,spore
,4062,4062,3619,二 7.6,893,"0,000462%",,,8,亟,jí,ji,second,"urgently, immediately, extremely"
,4063,4063,6581,阜 170.6,25,"0,000013%",,,8,陔,gāi,gai,first,"a step, a terrace, a grade a ledge"
,4064,4064,4830,女 38.5,216,"0,000112%",,,8,妲,dá,da,second,concubine of last ruler of the Shang dynasty
,4065,4065,5343,女 38.5,132,"0,000068%",,,8,妯,zhóu,zhou,second,used in 妯娌
,4066,4066,3883,女 38.5,640,"0,000331%",,,8,姗,shān,shan,first,slander; ridicule; proceed slowly
,4067,4067,5546,巾 50.5,109,"0,000056%",,,8,帑,tǎng,tang,third,a treasury; public funds
,4068,4068,3470,弓 57.5,1067,"0,000552%",,,8,弩,nǔ,nu,third,"cross-bow, bow; downward stroke"
,4069,4069,6085,子 39.5,56,"0,000029%",,,8,孥,nú,nu,second,"child, offspring"
,4070,4070,5972,馬 187.5,65,"0,000034%",,,8,驽,nú,nu,second,"tired, old horse; old, weak"
,4071,4071,4013,虫 142.2,572,"0,000296%",,,8,虱,shī,shi,first,louse; bug; parasite
,4072,4072,2522,辵 162.5,3637,"0,001880%",,,8,迦,jiā,jia,first,character for transliteration
,4073,4073,4517,辵 162.5,317,"0,000164%",,,8,迨,dài,dai,fourth,"until, when; seize, arrest"
,4074,4074,5122,糸 120.5,163,"0,000084%",,,8,绀,gàn,gan,fourth,dark blue or reddish color
,4075,4075,6521,糸 120.5,28,"0,000014%",,,8,绁,xiè,xie,fourth,"to contract, draw in, reduce, shorten"
,4076,4076,6417,糸 120.5,33,"0,000017%",,,8,绂,fú,fu,second,ribbon or cord used attach ornaments
,4077,4077,5344,馬 187.5,132,"0,000068%",,,8,驷,sì,si,fourth,team of four horses; horses
,4078,4078,4218,馬 187.5,452,"0,000234%",,,8,驸,fù,fu,fourth,extra horse; imperial son-in-law
,4079,4079,4672,糸 120.5,259,"0,000134%",,,8,绉,zhòu,zhou,fourth,"crepe, crape, wrinkles, creases"
,4080,4080,4831,糸 120.5,216,"0,000112%",,,8,绌,chù,chu,fourth,"sew, stitch; insufficient"
,4081,4081,3648,馬 187.5,858,"0,000444%",,,8,驿,yì,yi,fourth,relay station
,4082,4082,6445,馬 187.5,31,"0,000016%",,,8,骀,dài,dai,fourth,"an old, tired horse, a jade; tired, exhausted"
,4083,4083,5907,田 102.3,70,"0,000036%",,,8,甾,zāi,zai,first,"ground that has been under cultivation for one year; evil, calamity"
,4084,4084,5068,玉 96.5,172,"0,000089%",,,9,珏,jué,jue,second,two pieces of jade joined together
,4085,4085,5432,玉 96.5,121,"0,000063%",,,9,珐,fà,fa,fourth,"enamel, cloissoné"
,4086,4086,3622,玉 96.5,889,"0,000460%",,,9,珂,kē,ke,first,inferior kind of jade
,4087,4087,3797,玉 96.5,713,"0,000369%",,,9,珑,lóng,long,second,a gem cut like dragon
,4088,4088,5464,玉 96.5,118,"0,000061%",,,9,玳,dài,dai,fourth,tortoise shell
,4089,4089,2981,玉 96.5,1932,"0,000999%",,,9,珀,pò,po,fourth,amber
,4090,4090,6214,干 51.6,45,"0,000023%",,,9,顸,hān,han,first,"large face, flat face; stupid"
,4091,4091,6400,玉 96.5,34,"0,000018%",,,9,珉,mín,min,second,stone resembling jade
,4092,4092,5061,玉 96.5,173,"0,000089%",,,9,珈,jiā,jia,first,"gamma, jewelry"
,4093,4093,4536,手 64.6,311,"0,000161%",,,9,拮,jié,jie,second,"laboring hard, occupied; pursue"
,4094,4094,5317,土 32.6,135,"0,000070%",,,9,垭,yā,ya,first,character used in place names
,4095,4095,3710,手 64.6,792,"0,000409%",,,9,挝,wō,wo,first,to beat; to strike
,4096,4096,2948,土 32.6,2030,"0,001049%",,,9,垣,yuán,yuan,second,low wall
,4097,4097,4510,手 64.6,320,"0,000165%",,,9,挞,tà,ta,fourth,"flog, whip; chastise"
,4098,4098,6898,土 32.6,14,"0,000007%",,,9,垤,dié,die,second,"ant-hill, small mound; hill"
,4099,4099,4530,走 156.2,313,"0,000162%",,,9,赳,jiū,jiu,first,"grand, valiant"
,4100,4100,4733,貝 154.5,242,"0,000125%",,,9,贲,bēn,ben,first,forge ahead; energetic; surname
,4101,4101,—,土 32.6,,,,,9,垱,dàng,dang,fourth,(dialect) earthen dyke in a river or rice paddy (for irrigation purposes)
,4102,4102,9151,土 32.6,1,"0,000001%",,,9,垌,dòng,dong,fourth,a field; used in place names
,4103,4103,3094,邑 163.7,1681,"0,000869%",,,9,郝,hǎo,hao,third,surname; place in modern Shanxi
,4104,4104,6275,土 32.6,41,"0,000021%",,,9,垧,shǎng,shang,third,variable unit of land measure
,4105,4105,6093,土 32.6,55,"0,000028%",,,9,垓,gāi,gai,first,"border, boundary, frontier"
,4106,4106,—,手 64.12,,,,,9,挦,xián,xian,second,"pull out, pluck; take hold of"
,4107,4107,4331,土 32.6,399,"0,000206%",,,9,垠,yín,yin,second,"boundary, bank of stream or river"
,4108,4108,3097,艸 140.6,1675,"0,000866%",,,9,茜,qiàn,qian,fourth,"madder, rubia cordifolia; reeds"
,4109,4109,4119,艸 140.6,511,"0,000264%",,,9,荚,jiá,jia,second,pods of leguminous plants; pods
,4110,4110,6285,艸 140.6,40,"0,000021%",,,9,荑,tí,ti,second,sprouts; tares
,4111,4111,6977,貝 154.5,12,"0,000006%",,,9,贳,shì,shi,fourth,borrow; pardon; loan
,4112,4112,6477,艸 140.6,30,"0,000016%",,,9,荜,bì,bi,fourth,species of bean; piper longtum
,4113,4113,5148,艸 140.7,158,"0,000082%",,,9,莒,jǔ,ju,third,hemp-like plant; taro; herb
,4114,4114,7098,艸 140.6,10,"0,000005%",,,9,茼,tóng,tong,second,Chrysanthemum coronarium
,4115,4115,5388,艸 140.6,126,"0,000065%",,,9,茴,huí,hui,second,"fennel, aniseed"
,4116,4116,5478,艸 140.6,116,"0,000060%",,,9,茱,zhū,zhu,first,dogwood
,4117,4117,7235,艸 140.7,8,"0,000004%",,,9,莛,tíng,ting,second,"stalks of grasses, etc."
,4118,4118,5033,艸 140.6,177,"0,000091%",,,9,荞,qiáo,qiao,second,buckwheat
,4119,4119,4744,艸 140.6,239,"0,000124%",,,9,茯,fú,fu,second,china root; medicinal fungus
,4120,4120,5660,艸 140.6,96,"0,000050%",,,9,荏,rěn,ren,third,"beans; soft, pliable; herb"
,4121,4121,6456,艸 140.6,31,"0,000016%",,,9,荇,xìng,xing,fourth,"a water plant, Nymphoides peltalum"
,4122,4122,3756,艸 140.6,750,"0,000388%",,,9,荃,quán,quan,second,aromatic herb; fine cloth
,4123,4123,4007,艸 140.6,574,"0,000297%",,,9,荟,huì,hui,fourth,"luxuriant, flourishing, abundant"
,4124,4124,3690,艸 140.6,811,"0,000419%",,,9,荀,xún,xun,second,surname; ancient state; plant
,4125,4125,4030,艸 140.6,564,"0,000292%",,,9,茗,míng,ming,second,tea; tea plant
,4126,4126,5681,艸 140.6,94,"0,000049%",,,9,荠,jì,ji,fourth,water-chestnuts; caltrop
,4127,4127,6064,艸 140.6,58,"0,000030%",,,9,茭,jiāo,jiao,first,"an aquatic grass, the stalks of which are eaten as a vegetable"
,4128,4128,1936,艸 140.6,7823,"0,004044%",,,9,茨,cí,ci,second,"thatching; caltrop, Tribulus terrestris"
,4129,4129,4608,土 32.6,285,"0,000147%",,,9,垩,è,e,fourth,"holy, sacred, sage; simplification of堊chalk; daub with chalk"
,4130,4130,5047,艸 140.6,175,"0,000090%",,,9,荥,xíng,xing,second,a county in Henan; the rising and dashing of waves
,4131,4131,6111,艸 140.6,54,"0,000028%",,,9,荦,luò,luo,fourth,brindled ox; brindled in color
,4132,4132,4259,艸 140.6,431,"0,000223%",,,9,荨,xún,xun,second,nettle
,4133,4133,4408,艸 140.6,361,"0,000187%",,,9,荩,jìn,jin,fourth,a kind of weed; faithfulness
,4134,4134,—,刀 18.7,,,,,9,剋,kè,ke,fourth,"subdue, overcome; cut down"
,4135,4135,4051,艸 140.6,552,"0,000285%",,,9,荪,sūn,sun,first,"aromatic grass; iris, flower"
,4136,4136,3532,艸 140.6,992,"0,000513%",,,9,茹,rú,ru,second,roots; vegetables; eat; bear
,4137,4137,8245,艸 140.6,3,"0,000002%",,,9,荬,mǎi,mai,third,a plant name
,4138,4138,9746,艸 140.6,1,"0,000001%",,,9,荮,zhòu,zhou,fourth,grass
,4139,4139,6394,木 75.5,34,"0,000018%",,,9,柰,nài,nai,fourth,"crab-apple tree; endure, bear"
,4140,4140,4647,木 75.5,270,"0,000140%",,,9,栉,zhì,zhi,fourth,"comb; comb out; weed out, elimininate"
,4141,4141,1903,木 75.5,8061,"0,004167%",,,9,柯,kē,ke,first,"axe-handle; stalk, bough; surname"
,4142,4142,5583,木 75.5,104,"0,000054%",,,9,柘,zhè,zhe,fourth,a thorny tree; sugarcane
,4143,4143,6357,木 75.5,36,"0,000019%",,,9,栊,lóng,long,second,"cage, pen; set of bars"
,4144,4144,4568,木 75.5,300,"0,000155%",,,9,柩,jiù,jiu,fourth,coffin which contains corpse
,4145,4145,5099,木 75.5,166,"0,000086%",,,9,枰,píng,ping,second,smooth board; chessboard; chess
,4146,4146,6001,木 75.5,63,"0,000033%",,,9,栌,lú,lu,second,"supporting block; sumac, loquat"
,4147,4147,6150,木 75.5,51,"0,000026%",,,9,柙,xiá,xia,second,"cage, pen for wild animals"
,4148,4148,5686,木 75.5,94,"0,000049%",,,9,枵,xiāo,xiao,first,"hollo stump of a tree; empty, thin"
,4149,4149,4553,木 75.5,306,"0,000158%",,,9,柚,yòu,you,fourth,"pomelo, grapefruit"
,4150,4150,5304,木 75.5,137,"0,000071%",,,9,枳,zhǐ,zhi,third,trifoliate orange; hedge thorn; (Cant.) a plug
,4151,4151,5247,木 75.5,144,"0,000074%",,,9,柞,zhà,zha,fourth,oak; spinous evergreen tree; to clear away trees
,4152,4152,6680,木 75.5,21,"0,000011%",,,9,柝,tuò,tuo,fourth,watchman's rattle
,4153,4153,5421,木 75.5,122,"0,000063%",,,9,栀,zhī,zhi,first,gardenia
,4154,4154,5362,木 75.5,129,"0,000067%",,,9,柢,dǐ,di,third,"root, base; bottom of object"
,4155,4155,4721,木 75.5,245,"0,000127%",,,9,栎,lì,li,fourth,chestnut-leaved oak; oak
,4156,4156,4578,木 75.5,295,"0,000152%",,,9,枸,gǒu,gou,third,kind of aspen found in Sichuan
,4157,4157,—,木 75.5,,,,,9,柈,bàn,ban,fourth,container
,4158,4158,6974,木 75.5,12,"0,000006%",,,9,柁,duò,duo,fourth,large tie-beams
,4159,4159,3663,木 75.5,845,"0,000437%",,,9,枷,jiā,jia,first,cangue scaffold
,4160,4160,6486,木 75.5,29,"0,000015%",,,9,柽,chēng,cheng,first,type of willow; tamarisk
,4161,4161,3577,刀 18.7,943,"0,000487%",,,9,剌,lá,la,second,"slash, cut in two; contradict"
,4162,4162,4791,酉 164.2,225,"0,000116%",,,9,酊,dīng,ding,first,"drunk, intoxicated"
,4163,4163,5123,邑 163.7,162,"0,000084%",,,9,郦,lì,li,fourth,"ancient place name, surname"
,4164,4164,3396,用 101.4,1146,"0,000592%",6,,9,甭,béng,beng,second,there is no need
,4165,4165,5603,石 112.4,102,"0,000053%",,,9,砗,chē,che,first,"giant clam, tridacna gigas"
,4166,4166,6160,石 112.4,50,"0,000026%",,,9,砘,dùn,dun,fourth,a kind of farm tool
,4167,4167,4949,石 112.4,191,"0,000099%",,,9,砒,pī,pi,first,arsenic
,4168,4168,4677,斤 69.5,257,"0,000133%",,,9,斫,zhuó,zhuo,second,"cut, chop, lop off"
,4169,4169,4774,石 112.5,230,"0,000119%",,,9,砭,biān,bian,first,stone probe; pierce; counsel
,4170,4170,5995,石 112.4,64,"0,000033%",,,9,砜,fēng,feng,first,an organic compound
,4171,4171,2608,大 37.6,3194,"0,001651%",,,9,奎,kuí,kui,second,stride of man; one of the twenty-eight lunar mansions
,4172,4172,4120,耳 128.3,510,"0,000264%",,,9,耷,dā,da,first,ears hanging down
,4173,4173,5543,虫 142.3,109,"0,000056%",,,9,虺,huī,hui,first,large poisonous snake
,4174,4174,6734,歹 78.5,19,"0,000010%",,,9,殂,cú,cu,second,to die
,4175,4175,5198,歹 78.5,152,"0,000079%",,,9,殇,shāng,shang,first,die young; national mourning
,4176,4176,6018,歹 78.5,62,"0,000032%",,,9,殄,tiǎn,tian,third,to end; to exterminate
,4177,4177,3142,歹 78.5,1588,"0,000821%",,,9,殆,dài,dai,fourth,"dangerous, perilous; endanger"
,4178,4178,4747,車 159.5,239,"0,000124%",,,9,轱,gū,gu,first,wheel; to turn; to revolve
,4179,4179,3853,車 159.5,663,"0,000343%",,,9,轲,kē,ke,first,axle; personal name of mencius
,4180,4180,5519,車 159.5,111,"0,000057%",,,9,轳,lú,lu,second,"pulley, windlass, capstan"
,4181,4181,4046,車 159.5,554,"0,000286%",,,9,轶,yì,yi,fourth,"rush forth; surpass, excel"
,4182,4182,5511,車 159.5,112,"0,000058%",,,9,轸,zhěn,zhen,third,cross board at rear of carriage
,4183,4183,5554,虫 142.3,108,"0,000056%",,,9,虿,chài,chai,fourth,a kind of scorpion
,4184,4184,5054,比 81.5,174,"0,000090%",,,9,毖,bì,bi,fourth,"guard against, take care; caution"
,4185,4185,6409,見 147.5,33,"0,000017%",,,9,觇,chān,chan,first,"peek; spy on, watch; investigate"
,4186,4186,9006,小 42.6,1,"0,000001%",,,9,尜,gá,ga,second,a child toy
,4187,4187,5013,口 30.6,181,"0,000094%",,,9,哐,kuāng,kuang,first,syllable
,4188,4188,6853,目 109.4,15,"0,000008%",,,9,眄,miǎn,mian,third,to look askance; looking dull
,4189,4189,6818,目 109.4,16,"0,000008%",,,9,眍,kōu,kou,first,sunken
,4190,4190,—,口 30.7,,,,,9,𠳐,bāng,bang,first,
,4191,4191,4751,邑 163.7,236,"0,000122%",,,9,郢,yǐng,ying,third,"Ying, ancient capital of Chu 楚 in Hubei, Jianling county"
,4192,4192,5993,目 109.4,64,"0,000033%",,,9,眇,miǎo,miao,third,"blind in one eye; minute, minuscule"
,4193,4193,6854,目 109.4,15,"0,000008%",,,9,眊,mào,mao,fourth,"dim-sighted; dull, bewildered"
,4194,4194,3979,目 109.4,590,"0,000305%",,,9,眈,dān,dan,first,"gloat, stare at; to delay, to loiter, to hinder"
,4195,4195,3056,禸 114.4,1757,"0,000908%",,,9,禺,yú,yu,second,district; mountain in Zhejiang
,4196,4196,4716,口 30.6,246,"0,000127%",,,9,哂,shěn,shen,third,"smile, laugh at, sneer at; (Cant.) a final particle indicating doing something to the full extent possible"
,4197,4197,5558,口 30.6,107,"0,000055%",,,9,咴,huī,hui,first,"neigh, whinny"
,4198,4198,5256,曰 73.5,144,"0,000074%",,,9,曷,hé,he,second,why? what? where?
,4199,4199,5682,日 72.5,94,"0,000049%",,,9,昴,mǎo,mao,third,one of the 28 constellations
,4200,4200,4596,日 72.5,290,"0,000150%",,,9,昱,yù,yu,fourth,"bright light, sunlight; dazzling"
,4201,4201,4089,日 72.5,530,"0,000274%",,,9,昵,nì,ni,fourth,"intimate, close; approach"
,4202,4202,3080,口 30.6,1704,"0,000881%",,,9,咦,yí,yi,second,exclamation of surprise
,4203,4203,6216,口 30.6,45,"0,000023%",,,9,哓,xiāo,xiao,first,garrulous; disturbed; restless
,4204,4204,5434,口 30.6,121,"0,000063%",,,9,哔,bì,bi,fourth,used in transliterations
,4205,4205,6342,田 102.4,37,"0,000019%",,,9,畎,quǎn,quan,third,"a drain between fields, irrigation; to flow"
,4206,4206,3441,田 102.4,1093,"0,000565%",,,9,毗,pí,pi,second,"help, assist; connect, adjoin"
,4207,4207,5364,口 30.5,128,"0,000066%",,,9,呲,cī,ci,first,give a talking-to
,4208,4208,4268,肉 130.5,427,"0,000221%",,,9,胄,zhòu,zhou,fourth,"helmet, headpiece; descendant"
,4209,4209,6067,田 102.4,58,"0,000030%",,,9,畋,tián,tian,second,"till land, cultivate; hunt"
,4210,4210,5483,田 102.4,116,"0,000060%",,,9,畈,fàn,fan,fourth,field; farm
,4211,4211,5063,虫 142.3,173,"0,000089%",,,9,虼,gè,ge,fourth,a flea; species of beetle
,4212,4212,4580,虫 142.3,295,"0,000152%",,,9,虻,méng,meng,second,"horsefly, gadfly"
,4213,4213,3998,皿 108.4,578,"0,000299%",,,9,盅,zhōng,zhong,first,small cup or bowl
,4214,4214,4546,口 30.6,308,"0,000159%",,,9,咣,guāng,guang,first,the sound of large door closing
,4215,4215,7236,口 30.6,8,"0,000004%",,,9,哕,huì,hui,fourth,belch; vomit
,4216,4216,4794,刀 18.7,224,"0,000116%",,,9,剐,guǎ,gua,third,"cut, cut flesh from bones"
,4217,4217,4805,邑 163.7,221,"0,000114%",,,9,郧,yún,yun,second,county in Hubei province
,4218,4218,4347,口 30.6,394,"0,000204%",,,9,咻,xiū,xiu,first,shout
,4219,4219,4603,囗 31.6,287,"0,000148%",,,9,囿,yòu,you,fourth,"pen up; limit, constrain"
,4220,4220,4740,口 30.6,241,"0,000125%",,,9,咿,yī,yi,first,descriptive of creaking; laugh
,4221,4221,5755,口 30.6,85,"0,000044%",,,9,哌,pài,pai,fourth,used in translation
,4222,4222,5981,口 30.6,64,"0,000033%",,,9,哙,kuài,kuai,fourth,"swallow, gulp down; greedy"
,4223,4223,6558,口 30.6,26,"0,000013%",,,9,哚,duǒ,duo,third,"chemical element; (Cant.) backing, support of someone powerful; a little"
,4224,4224,2744,口 30.6,2694,"0,001393%",,,9,咯,gē,ge,first,final particle
,4225,4225,4752,口 30.6,236,"0,000122%",,,9,咩,miē,mie,first,the bleating of sheep; (Cant.) an interrogative particle
,4226,4226,4730,口 30.6,243,"0,000126%",,,9,咤,zhà,zha,fourth,"scold, bellow, shout at, roar"
,4227,4227,3581,口 30.6,941,"0,000486%",,,9,哝,nóng,nong,second,whisper
,4228,4228,6052,口 30.6,59,"0,000030%",,,9,哏,gén,gen,second,"funny, odd, interesting"
,4229,4229,5619,口 30.6,100,"0,000052%",,,9,哞,mōu,mou,first,moo
,4230,4230,3046,山 46.6,1784,"0,000922%",,7–9,9,峙,zhì,zhi,fourth,"stand erect, stand up; pile up"
,4231,4231,—,山 46.12,,,,,9,峣,yáo,yao,second,high or tall
,4232,4232,5614,网 122.4,101,"0,000052%",,,9,罘,fú,fu,second,screen used in ancient times
,4233,4233,3563,巾 50.6,962,"0,000497%",,,9,帧,zhèng,zheng,fourth,"picture, scroll; one of pair of"
,4234,4234,4633,山 46.6,275,"0,000142%",,,9,峒,dòng,dong,fourth,mountain in Gansu province
,4235,4235,5203,山 46.6,151,"0,000078%",,,9,峤,jiào,jiao,fourth,high pointed mountain
,4236,4236,4478,山 46.6,336,"0,000174%",,,9,峋,xún,xun,second,ranges of hills stretching on beyond another irregular peaks
,4237,4237,4958,山 46.6,189,"0,000098%",,,9,峥,zhēng,zheng,first,"high, lofty, noble; steep, perilous"
,4238,4238,6978,貝 154.5,12,"0,000006%",,,9,贶,kuàng,kuang,fourth,"give, grant, bestow; surname"
,4239,4239,4311,金 167.4,409,"0,000211%",,,9,钚,bù,bu,fourth,plutonium
,4240,4240,4310,金 167.4,410,"0,000212%",,,9,钛,tài,tai,fourth,titanium
,4241,4241,3858,金 167.4,659,"0,000341%",,,9,钡,bèi,bei,fourth,barium
,4242,4242,5705,金 167.4,92,"0,000048%",,,9,钣,bǎn,ban,third,plate
,4243,4243,5092,金 167.4,167,"0,000086%",,,9,钤,qián,qian,second,"lock, latch; stamp, seal"
,4244,4244,4818,金 167.5,218,"0,000113%",,,9,钨,wū,wu,first,"tungsten, wolfram"
,4245,4245,5939,金 167.4,68,"0,000035%",,,9,钫,fāng,fang,first,francium
,4246,4246,5949,金 167.4,68,"0,000035%",,,9,钯,bǎ,ba,third,palladium
,4247,4247,5497,气 84.5,114,"0,000059%",,,9,氡,dōng,dong,first,radon
,4248,4248,3701,气 84.5,800,"0,000414%",,,9,氟,fú,fu,second,fluorine
,4249,4249,5439,牛 93.5,121,"0,000063%",,,9,牯,gǔ,gu,third,cow; bull; ox
,4250,4250,6218,邑 163.7,45,"0,000023%",,,9,郜,gào,gao,fourth,name of fief in Shantong bestowed on the eldest son of Wen Wang
,4251,4251,6313,禾 115.4,39,"0,000020%",,,9,秕,bǐ,bi,third,"empty grain or rice husk, chaff"
,4252,4252,6171,禾 115.5,49,"0,000025%",,,9,秭,zǐ,zi,third,"one thousand millions, sometimes used for one hundred millions"
,4253,4253,4935,竹 118.3,195,"0,000101%",,,9,竽,yú,yu,second,ancient woodwind instrument
,4254,4254,3662,竹 118.4,847,"0,000438%",,,9,笈,jí,ji,second,bamboo box used carry books
,4255,4255,3207,竹 118.3,1473,"0,000761%",,,9,笃,dǔ,du,third,"deep, true, sincere, genuine"
,4256,4256,4502,人 9.7,323,"0,000167%",,,9,俦,chóu,chou,second,"companion, mate, colleague"
,4257,4257,3559,人 9.7,966,"0,000499%",,,9,俨,yǎn,yan,third,"grave, respectful, majestic"
,4258,4258,5634,人 9.7,99,"0,000051%",,,9,俅,qiú,qiu,second,ornamental cap
,4259,4259,4648,人 9.7,269,"0,000139%",,,9,俪,lì,li,fourth,"spouse, couple, pair"
,4260,4260,3804,又 29.8,703,"0,000363%",,,9,叟,sǒu,sou,third,old man; elder
